panel,condition,ZH-EN,DE-EN,ZH-DE
A,Baseline,0.9336,0.9382,0.5188
A,Random Swap,0.9141,0.9136,0.4444
B,Baseline,0.9336,0.9382,0.5188
B,Permuted,0.9562,0.9561,0.7159
C,model,F1,precision,recall,n
C,deepseek-chat,0.5465,0.5353,0.5759,92
C,deepseek-v4-flash,0.6078,0.6136,0.6265,92
C,deepseek-v4-pro,0.5934,0.5999,0.6167,92
C,glm-5.1,0.5897,0.0000,0.0000,92
C,glm-5.2,0.5909,0.5778,0.6295,92
C,glm-5,0.5921,0.0000,0.0000,89
C,hy3-preview,0.6741,0.6924,0.6740,57
C,kimi-k2.5,0.5884,0.0000,0.0000,89
C,kimi-k2.6,0.6261,0.6169,0.6665,83
C,mimo-v2.5-pro,0.6735,0.0000,0.0000,75
C,mimo-v2.5,0.6275,0.0000,0.0000,79
C,minimax-m2.5,0.5759,0.0000,0.0000,92
C,minimax-m2.7,0.5662,0.0000,0.0000,91
C,minimax-m3,0.5797,0.5606,0.6367,91
C,qwen3.5-plus,0.6130,0.0000,0.0000,84
C,qwen3.6-plus,0.5766,0.0000,0.0000,92
C,qwen3.7-max,0.6143,0.5976,0.6630,92
C,qwen-max,0.6610,0.6421,0.7020,92
C,qwen-plus,0.6659,0.6419,0.7188,92
